id,foodBank,address,phone,website
1,Brazos Valley Food Bank,"1514 Shiloh, Bryan, TX 77803  ",(979) 779-3663  ,www.bvfb.org
2,Central Texas Food Bank,"6500 Metropolis Dr, Austin, TX 78744  ",(512) 282-2111  ,www.centraltexasfoodbank.org
3,Concho Valley Regional Food Bank,"1313 S. Hill St., San Angelo, TX 76903  ",(325) 655-3231  ,www.conchovalleyfoodbank.org
4,East Texas Food Bank,"3201 Robertson Rd., Tyler, TX 75711  ",(903) 597-3663  ,www.easttexasfoodbank.org
5,El Pasoans Fighting Hunger,"9539 Plaza Circle Drive, El Paso, TX 79937  ",(915) 298-0353  ,www.elpasoansfightinghunger.org
6,Coastal Bend Food Bank,"826 Krill St., Corpus Christi, TX 78408  ",(361) 887-6291  ,www.coastalbendfoodbank.org
7,Food Bank of the Golden Crescent,"3809 E. Rio Grande, Victoria, TX 77903  ",(361) 578-0591  ,www.victoriafoodbank.org
8,Food Bank of the Rio Grande Valley,"724 North Cage Blvd., Pharr, Texas 78577",956-682-8101,www.foodbankrgv.com
9,Food Bank of West Central Texas,"5505 N. First, Abilene, TX 79603   ",(325) 695-6311  ,www.fbwct.org
10,Galveston County Food Bank,"624 4th Avenue N., Texas City, Texas 77590  ",(409) 945-4232  ,www.galvestoncountyfoodbank.org
11,High Plains Food Bank,"815 S. Ross, Amarillo, TX 79120  ",(806) 374-8562  ,www.hpfb.org
12,Houston Food Bank,"535 Portwall Street, Houston, TX 77029  ",(832) 369-9390  ,www.houstonfoodbank.org
13,Montgomery County Food Bank,"One Food For Life Way, Conroe, TX 77385  ",(936) 539-6686   ,www.mcfoodbank.org 
14,North Texas Food Bank,"4500 Cockrell Hill, Dallas, TX 75236  ",(214) 330-1396  ,www.ntfb.org
15,San Antonio Food Bank,"5200 Old Highway 90 West, San Antonio, TX 78227  ",(210) 337-3663  ,www.safoodbank.org
16,South Plains Food Bank,"5605 MLK Blvd., Lubbock, TX 79404  ",(806) 763-3003  ,www.spfb.org
17,South Texas Food Bank,"1907 Freight St., Laredo, TX 78041  ",(956) 726-3120  ,www.southtexasfoodbank.org
18,Southeast Texas Food Bank,"3845 MLK Blvd., Beaumont, TX 77705  ",(409) 839-8777  ,www.setxfoodbank.org
19,Tarrant Area Food Bank,"2600 Cullen, Ft. Worth, TX 76107  ",(817) 332-9177  ,www.tafb.org
20,West Texas Food Bank,"1008 E. 2nd St., Odessa, TX 79760  ",(432) 580-6333  ,www.wtxfoodbank.org 
21,Wichita Falls Area Food Bank,"1230 Midwestern Pkwy., Wichita Falls, TX 76307  ",(940) 766-2322  ,www.wfafb.org
